cod_lugar;descripcion;observacion;Categoria;fecha_modif,;Calle/Ruta,;Coordenadas Google M,;e-mail,;Número/Km.,;Teléfono 1,;Zona;Balneario (*);Playa (*);Otros sectores costeros  (*);Boca Náutica (*);Categorias Adicionales
5131;Punta Mogotes - Balneario 12 - Doce;;Balneario;16/03/2023;Av. de los Trabajadores;-38.067604, -57.543327;;2600;;Punta Mogotes, Playa;;;;;
5133;Punta Mogotes - Balneario 11 - Ulises;;Balneario;14/11/2021;Av. de los Trabajadores;-38.068379, -57.543494;contacto@ulisesmdq.com.ar;2700;(0223) 484-1606;Punta Mogotes, Playa;;;;;
5134;Playa Grande - Balneario 0 - Yacht Club Argentino (Sólo para socios);;Balneario;23/12/2021;Paseo Victoria Ocampo;-38.030474, -57.532670;ycamdp@yca.org.ar;;(0223) 451-1287;Playa Grande;;;;;
5135;Playas Alfar - Balneario 9 - Mirador 9;;Balneario;20/02/2019;Paseo Costanero Sur Presidente Illia;-38.099970, -57.558872;mirador9@grupomirador.com.ar;1;(0223) 484-0966;Playas Alfar;;;;;
5146;Playas Alfar - Balneario 17 - Altos del Balcón;;Balneario;20/02/2019;Paseo Costanero Sur Presidente Illia;-38.104463, -57.567635;;2;(0223) 467-1379 (Balcón del Sur);Playas Alfar;;;;;
5148;Playas Alfar - Balneario 7 - La Reserva Terrace & Beach Club;;Balneario;23/12/2021;Paseo Costanero Sur Presidente Illia;-38.098619, -57.556616;info@lareservaplaya.com;0;(0223) 467-1000/1;Playas Alfar;;;;Boca Náutica;Boca Náutica
5151;Perla Norte - Balneario 1 - Perla Norte;;Balneario;01/11/2024;Bv. Marítimo Patricio Peralta Ramos;-37.984191, -57.544023;balneariperlanorte@gmail.com;230;(0223) 473-1514;Perla Norte, Playa;;;;;
5155;La Perla - Balneario 4 - Alicante;;Balneario;01/11/2024;Bv. Marítimo Patricio Peralta Ramos;-37.989662, -57.544921;balnearioalicante@gmail.com;750;;La Perla, Playa;;;;;
5157;Playa Grande - Balneario 2 - Mar del Plata Golf Club (Sólo para socios);;Balneario;23/12/2021;Paseo Victoria Ocampo;-38.029331, -57.532983;info@mardelplatagolfclub.com.ar;;(0223) 486-3066;Playa Grande;;;;;
5160;Faro Norte - Balneario 06 - Honu Beach;;Balneario;03/01/2024;Paseo Costanero Sur Presidente Illia;-38.088242, -57.543308;info@honubeach.com;5800;(0223) 467-0043;Punta Cantera, Playa;;;;;
13027;Playa Grande - Balneario 3 - Mar del Plata;;Balneario;01/11/2024;Paseo Victoria Ocampo;-38.028919, -57.532915;info@balneariomardelplata.com;;;Playa Grande;;;;;
13455;Perla Norte - Balneario 3 - Puerto Cardiel;;Balneario;01/11/2024;Av. Félix U. Camet;-37.977409, -57.543229;puertocardiel@gmail.com;400;;Perla Norte, Playa;;;;;
13902;Punta Cantera - Balneario 03 - Mirador Waikiki;;Balneario;14/11/2021;Av. de los Trabajadores;-38.0818652303056, -57.5387834191128;grupom9_adm@hotmail.com;4320;2235-466065;Punta Cantera, Playa;;;;Boca Náutica;Boca Náutica
15615;Playa Grande - Balneario 6 - Portofino;;Balneario;01/11/2024;Paseo Victoria Ocampo;-38.027377, -57.531665;informes@balnearioportofino.com.ar;;(0223) 451-5652;Playa Grande;;;;;
15683;Perla Norte - Balneario 2 - Bahía Bonita;;Balneario;01/11/2024;Av. Félix U. Camet;-37.978981, -57.543987;balneariobahiabonita@gmail.com;170;(0223) 472-8528;Perla Norte, Playa;;;;;
17009;Punta Cantera - Balneario 01 - Sea View;;Balneario;08/01/2020;Av. de los Trabajadores;-38.0781347479761, -57.5435273316279;balneario0@hotmail.com;3752;484-2173;Punta Mogotes, Playa;;;;;
18985;Playas Alfar - Balneario 6 - Mute;;Balneario;06/01/2021;Paseo Costanero Sur Presidente Illia;-38.095625, -57.551606;;;(0223) 467-3600;Playas Alfar;;;;;
19060;Playas del Norte - Costa del Sol;;Balneario;14/11/2021;Av. Félix U. Camet;-37.964800, -57.540634;balneario_costadelsol@hotmail.com;1600;2236-020084;Camet, Playas;;;;;
19070;Playas del Centro - Balneario Paseo Hermitage;;Balneario;01/11/2024;Bv. Marítimo Patricio Peralta Ramos;-38.0082191745651, -57.5384824626111;balneariohermitage@gmail.com;2600;2235-029775 (Whatsapp);Playas del Centro;;;;;
19837;Bahía Varese;;Balneario;16/04/2024;Paseo Jesús de Galíndez;-38.013597, -57.531376;bahiavarese@gmail.com;;(0223) 486-4441;Varese;;;;;
19864;Playas Alfar - Balneario 8 - Alfar;;Balneario;31/10/2018;Paseo Costanero Sur Presidente Illia;-38.099425, -57.557685;;1;2235-803322;Playas Alfar;;;;;
20731;Playas Alfar - Balneario 16 - Balcón del Sur;;Balneario;20/02/2019;Paseo Costanero Sur Presidente Illia;-38.103943, -57.566785;;2;(0223) 467-1379;Playas Alfar;;;;;
21139;Chapadmalal - Balneario Nº5;;Balneario;09/02/2021;Paseo Costanero Sur Presidente Illia;-38.206498, -57.696291;;20;;Sur;;;;;
22085;Punta Cantera - Balneario 04 - Mar y Pesca;;Balneario;23/12/2021;Av. de los Trabajadores;-38.082330, -57.538412;marypesca@live.com.ar;4306;(0223) 484-4164;Punta Cantera, Playa;;;;;
24162;Balneario El Cabo;;Balneario;16/04/2024;Paseo Jesús de Galíndez;-38.016311, -57.525918;balnearioelcabo@gmail.com;;2236-338634 (WhatsApp);Varese;;;;Boca Náutica;Boca Náutica
24742;Punta Mogotes - Arenas Blancas;;Balneario;01/11/2024;Av. de los Trabajadores;-38.057113, -57.538982;info@arenas-blancas.com.ar;1800;(0223) 484-3992/3;Punta Mogotes, Playa;;;;;
25749;Playas del Centro - NH Gran Hotel Provincial;;Balneario;01/11/2024;Bv. Marítimo Patricio Peralta Ramos;;nhgranhotelprovincial@nh-hotels.com;2600;(0223) 499-5900;Playas del Centro;;;;;
27139;Faro Norte - Balneario 01 - Mariano Spa Beach Club;;Balneario;13/11/2021;Av. de los Trabajadores;-38.082965, -57.538867;info@playamariano.com.ar;4550;(0223) 484-2281;Punta Cantera, Playa;;Playa;;;Playa
27174;Playas del Norte - Estrada;;Balneario;28/11/2019;Av. Félix U. Camet;-37.959061, -57.539755;;2100;;Camet, Playas;;;;;
27557;Playas Alfar - Balneario 3 - Cabo Largo Beach Club;;Balneario;14/11/2021;Paseo Costanero Sur Presidente Illia;-38.093703, -57.548473;info@cabolargo.com.ar;;2234-562032 (WhatsApp);Playas Alfar;;;;;
27562;Playa Grande - Balneario 8 - Biología Surf Club;;Balneario;01/11/2024;Paseo Victoria Ocampo;-38.026563, -57.531186;biologiasurfclub@gmail.com;;(0223) 451-7958;Playa Grande;;;;;
27567;Playas Alfar - Balneario 15 - Rilancó;;Balneario;23/12/2021;Paseo Costanero Sur Presidente Illia;-38.103010, -57.564350;rilancoparador@gmail.com;2;2234-263928;Playas Alfar;;;;;
27572;Playas Alfar - Balneario 4 - Helena Beach;;Balneario;14/11/2021;Paseo Costanero Sur Presidente Illia;-38.094391, -57.549565;info@helenabeach.com.ar;;(011) 3061-5001;Playas Alfar;;;;;
27972;Playa Grande - Balneario 4A - La Reina;;Balneario;01/11/2024;Paseo Victoria Ocampo;-38.028668, -57.532305;info@lareinaclub.com;;;Playa Grande;;;;;
57179;Playas Alfar - Balneario 14 - Bocas del Toro;;Balneario;20/02/2019;Paseo Costanero Sur Presidente Illia;-38.102101, -57.562461;balneariobocasdeltoro@gmail.com;1;(0223) 467-0937;Playas Alfar;;;;;
58448;Playas Alfar - Balneario 11 - Samsara Beach;;Balneario;29/03/2021;Paseo Costanero Sur Presidente Illia;-38.100708, -57.560267;info@samsarabeach.com.ar;1;2235-053425 (WhatsApp);Playas Alfar;;;;;
58449;Playas Alfar - Balneario 5 - La Restinga;;Balneario;23/12/2021;Paseo Costanero Sur Presidente Illia;-38.095447, -57.551398;larestingaplaya@gmail.com;;2235-227033;Playas Alfar;;;;;
58747;ARCHIVO DE PRUEBA;;Balneario;24/05/2022;;;;;;;;;;;
5034;Playas del Norte - Unidad Turística Beltrán - Espigones en T;;Playa;28/11/2019;Av. Félix U. Camet;-37.948346, -57.535234;;3200;;Camet, Playas;;;;;
5066;Playas del Sur - La Paloma;;Playa;31/10/2018;Paseo Costanero Sur Presidente Illia;-38.111262, -57.583611;;9;;Sur;;;;;
5116;Playas del Sur - UTF Santa Isabel;;Playa;30/11/2019;Paseo Costanero Sur Presidente Illia;-38.202734, -57.684111;;15;;Sur;;;;;
5120;Playas del Sur - San Patricio;;Playa;29/03/2021;Paseo Costanero Sur Presidente Illia;-38.111493, -57.584057;;4;;Sur;;;;;
5139;Playas del Centro - Playa Bristol;;Playa;07/01/2020;Bv. Marítimo Patricio Peralta Ramos;-38.004969, -57.539907;;2300;;Playas del Centro;;;;;
5140;Perla Norte - Unzué 1;;Playa;27/11/2019;Bv. Marítimo Patricio Peralta Ramos;-37.983036, -57.543780;;50;;Perla Norte, Playa;;;;;
5142;Perla Norte - Unzué 2;;Playa;27/11/2019;Av. Félix U. Camet;-37.980576, -57.543531;;100;;Perla Norte, Playa;;;;;
16807;Playa Chapadmalal;;Playa;18/02/2021;Paseo Costanero Sur Presidente Illia;-38.203271, -57.688975;;20;;Sur;;;;Boca Náutica;Boca Náutica
19079;Playas del Norte  - Espigones en T;;Playa;31/10/2018;Av. Félix U. Camet;-37.951606, -57.536286;;3000;;Camet, Playas;;;;;
19865;Playas Alfar - Playa de uso público Alfar;;Playa;07/01/2020;Paseo Costanero Sur Presidente Illia;-38.099419, -57.558004;;1;;Playas Alfar;;;;;
20810;Playa Grande - Waimea;;Playa;18/02/2021;Paseo Victoria Ocampo;-38.025901, -57.529776;;;;Playa Grande;;;;;
23358;Playas del Centro - Playa Popular;;Playa;28/11/2019;Bv. Marítimo Patricio Peralta Ramos;-38.000775, -57.540701;;1900;;Playas del Centro;;;;;
24739;Playa del Puerto;;Playa;18/02/2021;Escollera Sur - Camino a El Salvador;-38.049043, -57.531408;;;;Puerto;;;;;
56728;Playas del Sur - San Jacinto;;Playa;31/10/2018;Paseo Costanero Sur Presidente Illia;-38.107178, -57.573686;;;;Playas Alfar;;;;;
56753;Punta Cantera - UTF Punta Cantera 02;;Playa;09/11/2021;Av. de los Trabajadores;-38.078308, -57.542236;;3900;;Punta Cantera, Playa;;;;;
58029;La Perla - UTF Nº 5;;Playa;27/11/2019;Bv. Marítimo Patricio Peralta Ramos;-37.987081, -57.544053;;500;;La Perla, Playa;;;;;
58146;Accesos Públicos a Playas de Punta Mogotes;;Playa;18/02/2019;Ver Observaciones;-38.066606, -57.542776;;;;Punta Mogotes, Playa;;;;;
58303;Playa Chica;;Playa;18/02/2021;Bv. Marítimo Patricio Peralta Ramos;-38.020327, -57.526375;;4800;;Playa Chica;;;;;
58305;Playas del Sur - UTF El Marquesado;;Playa;30/11/2019;Paseo Costanero Sur Presidente Illia;-38.231791, -57.746681;;25;;Sur;;;;;
58306;Playas del Sur - UTF Playa Redonda;;Playa;30/11/2019;Paseo Costanero Sur Presidente Illia;;;13;;Sur;;;;;
58307;Playas del Sur - UTF Playa Dorada;;Playa;30/11/2019;Paseo Costanero Sur Presidente Illia;;;13;;;;;;;
58737;Playas del Centro - Las Toscas;;Playa;09/02/2022;Bv. Marítimo Patricio Peralta Ramos;-38.007530, -57.537451;;2800;;Playas del Centro;;;;;
20925;Solarium Piscinas de Playa Grande;;Otros sectores costeros ;23/12/2021;Paseo Victoria Ocampo;-38.028151, -57.532699;ventas@cgbeach.com.ar;;(0223) 410-5020;Playa Grande;;;;;
22634;Plaza pública para Personas con Discapacidad - Entre Balnearios 4 y 5 de Punta Mogotes;;Otros sectores costeros ;07/01/2020;Av. de los Trabajadores;-38.073446, -57.543647;;3220;;Punta Mogotes, Playa;;;;;
27563;Playa Grande - UTF  Escollera Norte;;Otros sectores costeros ;03/01/2024;Paseo Victoria Ocampo;-38.030974, -57.532721;;;;Playa Grande;;;;;
19490;Varese - Cabo Corrientes;;Boca Náutica;20/12/2018;Paseo Jesús de Galíndez;-38.016428, -57.526089;;;;Varese;;;;;
