cod_lugar;descripcion;observacion;Categoria;fecha_modif,;Calle/Ruta,;e-mail,;Coordenadas Google M,;Número/Km.,;Teléfono 1,;Zona;Pesca Recreativa  (*);Deportes de Aventura  (*);Casinos y Bingos  (*);Recreación para niños (*);Ferias y Mercados  (*);Parques Temáticos (*);Establecimientos para pasar el día (*);Emprendimientos productivos (*);Paseos Aéreos (*);Excursiones marítimas (*);Alquiler de bicicletas y motos (*);Circuitos de kartings y cuatriciclos (*);Caminatas y Actividades Físicas (*);Bowlings (*);Circuitos Guiados (*);Miradores (*);Museos y Centros Culturales (*);Reservas Ecológicas (*);Turismo Religioso (*);Guías de Turismo (*);Cabalgatas (*);Categorias Adicionales
57164;TREKKING. Reserva Natural Paititi;;Deportes de Aventura ;14/09/2023;Ruta 226;reservanaturalpaititi@gmail.com;-37.920846, -57.812283;16;2235-980265 (WhatsApp);Serrana;;;;;;;;;;;;;;;;;;;;;;
57194;MICE MDQ Incentives;;Deportes de Aventura ;15/01/2023;Reserva Telefónica;info@micemdq.com;-37.934876, -57.721679;;2235606338;;;;;;;;;;;;;;;;;;;;;;;
57451;SURF. MDP Surf Club;Clases en la playa, escuela de surf y sup, actividad náutica ideal para niños, chicos, principiantes y actividades familiares;Deportes de Aventura ;14/01/2025;Paseo Jesús de Galíndez;mdpsurfclub@gmail.com;-38.014257, -57.530543;;(0223) 451-5931;Varese;;;;;;;;;;;;;;;;;;;;;;
58394;FOOTGOLF. La Serranita;;Deportes de Aventura ;30/08/2023;Ruta 226;;-37.889299, -57.831152;24;2234-667601 (WhatsApp);Serrana;;;;;;;;;;;;;;;;;;;;;;
58441;Tandem Aventura;;Deportes de Aventura ;14/01/2025;En Sierra de los Padres;;-37.942026, -57.776253;;2235-755505 (WhatsApp);Serrana;;;;;;;;;;;;;;;;;;;;;;
58720;STAND UP PADDLE. Escuela de SUP Mar del Plata;Clases de sup en la playa, actividad náutica ideal para niños, principiantes y familias;Deportes de Aventura ;14/01/2025;Paseo Jesús de Galíndez;;-38.0075238,-57.5339148;;2236 872296 (WhatsApp);Playas del Centro;;;;;;;;;;;;;;;;;;;;;;
59014;Vivi Aventura en Rincón Grande;;Deportes de Aventura ;14/01/2025;Ver Observaciones;;-37.883533, -57.868976;;2236-590000;;;;;;;;;;;;;;;;;;;;;;;
59060;Paseos Náuticos Mar del Plata - Tiburones del Cabo;;Deportes de Aventura ;15/01/2025;Reserva Telefónica;;-38.016006, -57.527605;;2234-388363;;;;;;;;;;;;;;;;;;;;;;;
59179;Parapente Viento Sur;;Deportes de Aventura ;14/01/2025;;;;;2234-363916 (WhatsApp);;;;;;;;;;;;;;;;;;;;;;;
59180;Escuela Sol SUP mdq - Centro Naval;Clases de sup en la playa, actividad náutica ideal para niños, principiantes y familias;Deportes de Aventura ;14/01/2025;Vito Dumas;;;50;2235-910136;;;;;;;;;;;;;;;;;;;;;;;
59181;Paseos Náuticos - Torreon del Monje;;Deportes de Aventura ;14/01/2025;;;;;2234-554829;;;;;;;;;;;;;;;;;;;;;;;
59217;Movete Surf;Clases en la playa, escuela de surf y sup, actividad náutica ideal para niños, chicos, principiantes y actividades familiares;Deportes de Aventura ;14/01/2025;;;;;2234-556868;;;;;;;;;;;;;;;;;;;;;;;
13083;Bingo del Sol;;Casinos y Bingos ;14/01/2025;Av. Independencia;;-37.996872, -57.553195;1752;(0223) 494-9333;Centro;;;;;;;;;;;;;;;;;;;;;;
13084;Bingo Mar;;Casinos y Bingos ;14/01/2025;Entre Ríos;;-38.004502, -57.545465;2091;(0223) 494-9333;Microcentro;;;;;;;;;;;;;;;;;;;;;;
13086;Casino Central;;Casinos y Bingos ;14/01/2025;Bv. Marítimo Patricio Peralta Ramos;casinocentral2012@outlook.com;-38.004172, -57.542444;2148;(0223) 495-7011 Int. 373;Playas del Centro;;;;;;;;;;;;;;;;;;;;;;
19470;Bingo Peatonal;;Casinos y Bingos ;14/01/2025;San Martín;;-38.000250, -57.545494;2460;(0223) 494-9333;Centro;;;;;;;;;;;;;;;;;;;;;;
22045;Bingo Puerto;;Casinos y Bingos ;14/01/2025;Av. Edison;;-38.042054, -57.548967;477;(0223) 494-9333.;Puerto;;;;;;;;;;;;;;;;;;;;;;
56311;Casino Hotel UTHGRA Sasso;;Casinos y Bingos ;14/01/2025;Av. de los Trabajadores;;-38.075695, -57.545288;3545;(0223) 499-9096;Punta Mogotes, Playa;;;;;;;;;;;;;;;;;;;;;;
58344;Casino del Mar;;Casinos y Bingos ;14/01/2025;Bv. Marítimo Patricio Peralta Ramos;info@casinodelmar.com.ar;-38.007549, -57.539458;2565;(2003) 486-1976 / (0223) 486-1951;Playas del Centro;;;;;;;;;;;;;;;;;;;;;;
21898;Play Land Park;"Ideal para ir con niños, juegos infantiles y paseos familiares recreativos;Recreación para niños";Recreación para niños;15/01/2025;Rivadavia;playlandmdq@hotmail.com;-37.998057, -57.552004;3050;(0223) 492-0644;Centro;;;;;;;;;;;;;;;;;;;;;;
56291;Sacoa Entretenimientos. Centro;"Juegos electrónicos e infantiles para chicos y toda la familia;Recreación para niños";Recreación para niños;15/01/2025;San Martín;saenc@sacoa.com;-38.000826, -57.544207;2332;(0223) 494-9821;Microcentro;;;;;;;;;;;;;;;;;;;;;;
56717;Bajo Cero;;Recreación para niños;15/01/2025;San Martín;;-38.001279, -57.543229;2245;(0223) 491-3625;Microcentro;;;;;;;;;;;;;;;;;;;;;;
13023;Feria Central - Diagonal de los Artesanos;;Ferias y Mercados ;14/01/2025;Diag. Pueyrredon;feriascultura@yahoo.com;-37.998381, -57.549820;2900;2233-557014;Centro;;;;;;;;;;;;;;;;;;;;;;
13024;Mercado de Pulgas - Feria de Antigüedades;;Ferias y Mercados ;14/01/2025;20 de Septiembre;feriascultura@yahoo.com;-37.993758, -57.556812;1600;2233-557014;Plaza Rocha;;;;;;;;;;;;;;;;;;;;;;
21239;Feria Artesanal de los Mayores - Parque Camet;;Ferias y Mercados ;14/01/2025;En Parque Camet;adultosmayoresmgp@gmail.com;-37.940193, -57.542709;;(0223) 476-0457;Camet, Playas;;;;;;;;;;;;;;;;;;;;;;
23072;Paseo de los Artesanos y Manualistas Torreón - Varese;;Ferias y Mercados ;14/01/2025;Paseo Jesús de Galíndez;feriascultura@yahoo.com;-38.010013, -57.532283;;2233-557014;Varese;;;;;;;;;;;;;;;;;;;;;;
56181;Feria Artesanal y Cultural Rumi;;Ferias y Mercados ;14/01/2025;Av. Fortunato de la Plaza;;-38.060509, -57.550864;2250;2235-285515;Punta Mogotes, Barrio;;;;;;;;;;;;;;;;;;;;;;
56432;Emprearte -  Torreón del Monje;;Ferias y Mercados ;12/02/2021;Paseo Jesús de Galíndez;emprearte.org@hotmail.com;-38.008029, -57.533490;;;Playas del Centro;;;;;;;;;;;;;;;;;;;;;;
57886;Tiempo de Ferias;;Ferias y Mercados ;26/05/2021;Pasaje Catedral;;-37.998986, -57.548700;;;Microcentro;;;;;;;;;;;;;;;;;;;;;;
58855;Feria de Trenzas;;Ferias y Mercados ;14/01/2025;San Luis;feriascultura@yahoo.com;-37.998451, -57.547675;1650;2233-557014;Microcentro;;;;;;;;;;;;;;;;;;;;;;
58856;Feria de Producciones Artesanales de Chapadmalal;;Ferias y Mercados ;14/01/2025;Ver Observaciones;feriascultura@yahoo.com;-38.166509, -57.636229;;2233-557014;Sur;;;;;;;;;;;;;;;;;;;;;;
58857;Feria Gruta de Los Pañuelos - Sierra de los Padres;;Ferias y Mercados ;14/01/2025;En Cumbre Sierra de los Padres;;-37.945086, -57.781958;;;Serrana;;;;;;;;;;;;;;;;;;;;;;
59012;Feria Verde Agroecológica Mar Del Plata;;Ferias y Mercados ;14/01/2025;Ver Observaciones;;-37.993501, -57.558539;;;Plaza Rocha;;;;;;;;;;;;;;;;;;;;;;
21425;Aquasol;;Parques Temáticos;15/01/2025;Autovía 2;contacto@aquasol.com.ar;-37.823026, -57.621347;386;(0223) 664 - 7119;Autovía 2;;;;;;;;;;;;;;;;;;;;;;
24065;Aquarium Mar del Plata;;Parques Temáticos;15/01/2025;Av. de los Trabajadores;informe@aquarium.com.ar;-38.091749, -57.542491;5600;(0223) 467-0700;Playas Alfar;;;;;;;;;;;;;;;;;;;;;;
56639;Aquopolis;;Parques Temáticos;15/01/2025;Av. Jorge Newbery (cont. Edison);info@elgriego.com.ar;-38.094843, -57.602230;1800;2235406360;Sur;;;;;;;;;;;;;;;;;;;;;;
58137;Mr. Fly Trampoline Park;;Parques Temáticos;15/01/2025;Alvear, Carlos;info@mrflytrampolinepark.com;-38.030690, -57.552438;4726;(0223) 480-6054;Av. Juan B. Justo;;;;;;;;;;;;;;;;;;;;;;
58406;Aerópolis;;Parques Temáticos;15/01/2025;Av. Jorge Newbery (cont. Edison);info@aeropolis.com.ar;-38.094843, -57.602230;1800;223540636;Sur;;;;;;;;;;;;;;;;;;;;;;
58738;Bioparque Batán;;Parques Temáticos;15/01/2025;Ruta 88;bioparquebatan@gmail.com;-38.004337, -57.724114;12;2233-477324;Batán;;;;;;;;;;;;;;;;;;;;;;
59168;Mr. Fly Inflatable Park;;Parques Temáticos;15/01/2025;Av. Constitución;;-37.952691 , -57.5795733;7598;2235-033124;;;;;;;;;;;;;;;;;;;;;;;
24621;La Casualidad - Laberinto y Juegos Ocio Inteligente;;Establecimientos para pasar el día;14/12/2024;En Sierra de los Padres;la-casualidad@la-casualidad.com.ar;-37.924056, -57.775729;;2234-235634 (WhatsApp);Serrana;;;;;;;;;;;;;;;;;;;;;;
24914;Ecoparque El Encanto;;Establecimientos para pasar el día;14/01/2025;En Batán;complejoelencanto@hotmail.com;-38.026043, -57.703510;;2236-850977 (WhatsApp);Batán;;;;;;;;;;;;;;;;;;;;;;
26770;Complejo El Griego;;Establecimientos para pasar el día;14/01/2025;Av. Jorge Newbery (cont. Edison);info@elgriego.com.ar;-38.094843, -57.602230;8000;2235406360;Sur;;;;;;;;;;;;;;;;;;;;;;
26963;Complejo de Agroturismo Los Cachorros;;Establecimientos para pasar el día;14/01/2025;Acceso a Sierra de los Padres P. Varetto;;-37.926649, -57.757294;1100;2235-251803 (WhatsApp);Serrana;;;;;;;;;;;;;;;;;;;;;;
57044;Estancia Antiguo Casco La Brava;;Establecimientos para pasar el día;13/01/2024;Ruta 226;;-37.871760, -57.970874;36;(0223) 460-8062;Serrana;;;;;;;;;;;;;;;;;;;;;;
57082;Parque Camet;;Establecimientos para pasar el día;13/01/2024;En Parque Camet;;-37.943626, -57.535053;;;Camet, Playas;;;;;;;;;;;;;;;;;;;;;;
59017;Complejo La Serranita;;Establecimientos para pasar el día;14/01/2025;Ver Observaciones;;-37.88812007924535, -57.82998786769029;;(0223) 463-0003;;;;;;;;;;;;;;;;;;;;;;;
19088;Cultivo de Cactus y Suculentas Helvetia;;Emprendimientos productivos;30/12/2024;Autovía 2;kactushelvetia@yahoo.com.ar;-37.865284, -57.604256;391;115-4148697 (WhatsApp);Autovía 2;;;;;;;;;;;;;;;;;;;;;;
24495;La Seño - Dulces Artesanales;;Emprendimientos productivos;15/07/2023;Ruta 226;losmejoresdulces@hotmail.com;-37.905146, -57.742938;17;(0223) 463-0267;Serrana;;;;;;;;;;;;;;;;;;;;;;
27001;Graciela Gamboa: Aromáticas y Hortalizas de Gourmet;;Emprendimientos productivos;31/07/2023;Lorenzini;ggracielagamboa@hotmail.com;-37.955559, -57.587845;336;(0223) 477-5816;;;;;;;;;;;;;;;;;;;;;;;
56302;Cervecería Antares. Tour Cervecero;;Emprendimientos productivos;14/01/2025;12 de Octubre;bardelafabrica@cervezaantares.com;-38.013545, -57.585291;7749;(0223) 481-8202;;;;;;;;;;;;;;;;;;;;;;;
57083;Bodega Trapiche ´´Costa y Pampa``;;Emprendimientos productivos;14/01/2025;Ver Observaciones;turismo@cyptrapiche.com.ar;-38.141275, -57.724665;;(0223) 464-4312;Chapadmalal;;;;;;;;;;;;;;;;;;;;;;
57472;Astilleros SPI - Servicios Portuarios Integrados S.A;;Emprendimientos productivos;03/06/2021;Av. Prefectura Naval Argentina;visitas@spisa.com.ar;-38.050948, -57.536760;772;(0223) 480-9480;Puerto;;;;;;;;;;;;;;;;;;;;;;
58131;Quesos Los Alemanes;;Emprendimientos productivos;14/01/2025;Autovía 2;quesoslosalemanes@gmail.com;-37.885837, -57.632058;391;2235-902719;Autovía 2;;;;;;;;;;;;;;;;;;;;;;
58865;Orientés;;Emprendimientos productivos;14/01/2025;Av. Jara;;-37.977962, -57.563775;561;2235-971690 (WhatsApp);;;;;;;;;;;;;;;;;;;;;;;
59160;Destilería Kalmar;;Emprendimientos productivos;14/01/2025;Rateriy;;-38.013328, -57.582668;217;2235-401044;;;;;;;;;;;;;;;;;;;;;;;
59161;Cervecería Baum - Fábrica;;Emprendimientos productivos;30/12/2024;Pehuajó;;-38.014069, -57.581937;243;;;;;;;;;;;;;;;;;;;;;;;;
59162;9 Tribus Cervecería;;Emprendimientos productivos;14/01/2025;Uruguay;;-37.986803, -57.575036;1842; 2233-121575;;;;;;;;;;;;;;;;;;;;;;;
59169;Fábrica de Helados Lucciano´s Central;;Emprendimientos productivos;14/01/2025;Ruta 88;;-37.997124,  -57.664422;9;;Batán;;;;;Ferias y Mercados ;;;;;;;;;;;;;;;;;Ferias y Mercados 
59198;Brewhouse;;Emprendimientos productivos;14/01/2025;Diag. Garibaldi;;-38.0376445,-57.6380018;4830;;Puerto, Barrio;;;;;;;;;;;;;;;;;;;;;;
26700;Flight South Vuelos;;Paseos Aéreos;14/12/2021;Reserva Telefónica;;-38.007306, -57.672478;;(0223) 486-3207;;;;;;;;;;;;;;;;;;;;;;;
56946;MDQ Servicios Aéreos Escuela de Vuelo;;Paseos Aéreos;01/08/2022;Reserva Telefónica;mdqserviciosaereos@hotmail.com;-38.008416, -57.672333;;(0223) 464-0570;;;;;;;;;;;;;;;;;;;;;;;
57916;Aeroclub Mar del Plata - Batán;;Paseos Aéreos;15/01/2025;Reserva Telefónica;aeromdpbatan@gmail.com;-38.007853, -57.670843;;(0223) 464-1960;;;;;;;;;;;;;;;;;;;;;;;
59013;Club de Planeadores Mar del Plata;;Paseos Aéreos;15/01/2025;Ruta 88;;-38.013043, -57.649835;6;2236-803828.;;;;;;;;;;;;;;;;;;;;;;;
13037;Crucero Anamora;;Excursiones marítimas;14/01/2025;Buque Pesquero San Antonio Abate;info@cruceroanamora.com.ar;-38.048811, -57.539411;593;(0223) 489-0310;Puerto;;;;;;;;;;;;;;;;;;;;;;
58117;Aquatours;;Excursiones marítimas;17/02/2021;Reserva Telefónica;info@aquafish.com.ar;-38.041005, -57.541871 -;;2234001335;Puerto;;;;;;;;;;;;;;;;;;;;;;
58672;Turimar S.A Paseos Marítimos;;Excursiones marítimas;14/01/2025;Reserva Telefónica;;-38.049626, -57.536467;;2236-945047 (WhatsApp);Puerto;;;;;;;;;;;;;;;;;;;;;;
21237;Bicicletería Madrid;;Alquiler de bicicletas y motos;14/01/2025;H. Yrigoyen;;-38.002364, -57.553536;2241;2235-114404;Centro;;;;;;;;;;;;;;;;;;;;;;
56947;Ir en Bicis;Alquiler y recorridos en bicicleta, actividad al aire libre ideal para paseos y actividades familiares, apto para niños, chicos;Alquiler de bicicletas y motos;26/05/2021;Reserva Telefónica;;-38.005410, -57.542199;;2235955951;;;;;;;;;;;;;;;;Circuitos Guiados;;;;;;;Circuitos Guiados
58114;Bicicletería Rodados Mármora;;Alquiler de bicicletas y motos;14/01/2025;San Luis;;-38.004109, -57.552006;2324;2236-209255;Centro;;;;;;;;;;;;;;;;;;;;;;
58866;Bicitando Mardel;Alquiler y recorridos en bicicleta, actividad al aire libre ideal para paseos y actividades familiares, apto para niños, chicos;Alquiler de bicicletas y motos;14/01/2025;Av. Colón;;-38.007044, -57.542833;1851;2235-699875 (Whatsapp);Microcentro;;;;;;;;;;;;;;;;;;;;;;
59015;Alquiler de Bicicletas MTB;;Alquiler de bicicletas y motos;14/01/2025;Ver Observaciones;;-38.083499, -57.540082;;2235-352214;;;;;;;;;;;;;;;;;;;;;;;
56108;Corredor Saludable;;Caminatas y Actividades Físicas;03/06/2021;Av. Libertad;;-37.992022, -57.545321;2900;;La Perla, Playa;;;;;;;;;;;;;;;;;;;;;;
56630;Juegos Saludables al Aire Libre;;Caminatas y Actividades Físicas;29/04/2019;Ver Observaciones;;-37.998124, -57.541021;;;;;;;;;;;;;;;;;;;;;;;;;
57719;Marcha Nórdica Escuela Argentina;;Caminatas y Actividades Físicas;03/06/2021;;info@marchanordica.com.ar;-38.007252, -57.535125;;2235263488;;;;;;;;;;;;;;;;;;;;;;;
57045;Bowling Club Mar del Plata. El Decano;;Bowlings;14/01/2025;Rivadavia;;-37.996454, -57.555232;3358;(0223) 475-7068;Plaza Rocha;;;;;;;;;;;;;;;;;;;;;;
57046;Bowling Urqui. Club Urquiza;;Bowlings;14/01/2025;Tucumán;bowlingurqui@hotmail.com;-38.010277, -57.547358;2671;(0223) 491-2617;Castelli Comercial;;;;;;;;;;;;;;;;;;;;;;
57050;Bowling Punto Sur;;Bowlings;15/01/2023;Av. de los Trabajadores;;-38.051146, -57.545501;1079;(0223) 480-8600;Puerto;;;;;;;;;;;;;;;;;;;;;;
57051;Bowling Pueyrredon. Club Pueyrredon;;Bowlings;14/01/2025;H. Yrigoyen;;-37.996687, -57.549007;1561;(0223) 492-4490;Centro;;;;;;;;;;;;;;;;;;;;;;
56871;Circuito Patrimonial en el Cementerio de la Loma;;Circuitos Guiados;26/05/2021;Reserva Telefónica;;-38.030192, -57.539365;;2236000160;Playa Grande;;;;;;;;;;;;;;;;;;;;;;
57453;Visitas Guiadas al Teatro Auditorium;;Circuitos Guiados;12/02/2021;Bv. Marítimo Patricio Peralta Ramos;;-38.004910, -57.542547;2282;(0223) 493-6001;Playas del Centro;;;;;;;;;;;;;;;;;;;;;;
57504;Visitas Guiadas por Monumentos Escultóricos;;Circuitos Guiados;31/07/2023;Ver Observaciones;;-38.005761, -57.543405;;;;;;;;;;;;;;;;;;;;;;;;;
57562;Foto Tour;;Circuitos Guiados;26/05/2021;Reserva Telefónica;;-37.999466, -57.548953;;2235985153;;;;;;;;;;;;;;;;;;;;;;;
58282;Andrea y Vicky - Caminatas Guiadas MDQ;;Circuitos Guiados;14/01/2025;;visitasmardel@gmail.com;;;;;;;;;;;;;;;;;;;;;;;;;;
58476;Circuito Astor Piazzolla;Caminatas y recorridos culturales guiados por la ciudad, paseos históricos ideales para actividades familiares, apto para todo público, niños y adultos mayores interesados en conocer Mar del Plata;Circuitos Guiados;27/02/2023;Reserva Telefónica;informes@turismomardelplata.gob.ar;;;(0223) 495-1777;;;;;;;;;;;;;;;;;;;;;;;
58717;Paseos Marplatenses - Recorridos Culturales Guiados;Caminatas y recorridos culturales guiados por la ciudad, paseos históricos ideales para actividades familiares, apto para todo público, niños y adultos mayores interesados en conocer Mar del Plata;Circuitos Guiados;14/01/2025;Reserva Telefónica;paseosmarplatenses@gmail.com;;;2901 482683;;;;;;;;;;;;;;;;;;;;;;;
58864;Bicitarte;Alquiler y recorridos en bicicleta, actividad al aire libre ideal para paseos y actividades familiares, apto para niños, chicos;Circuitos Guiados;14/01/2025;Reserva Telefónica;;-37.974354, -57.545178;;2233-476052 (Whatsapp);;;;;;;;;;;;;;;;;;;;;;;
58886;Espacio Tango;Centro cultural y espectáculos de tango, recorridos y actividades familiares, adultos mayores y abuelos dedicadas a la música e historia artística, un paseo imperdible y muy solicitado por turistas en Mar del Plata;Circuitos Guiados;14/01/2025;Alem;;-38.017907, -57.528143;2469;;Playa Grande;;;;;;;;;;;;;;;;;;;;;;
59069;Una Huella Invisible - Conociendo Mar del Plata;Caminatas y recorridos culturales guiados por la ciudad, paseos históricos ideales para actividades familiares, apto para todo público, niños y adultos interesados en conocer Mar del Plata;Circuitos Guiados;14/01/2025;;;;;2235-481630;;;;;;;;;;;;;;;;;;;;;;;
59070;Historia del Patrimonio Verde en el Jardín Histórico de la Casa Sobre el Arroyo;Caminatas y recorridos culturales guiados por la ciudad, paseos históricos ideales para actividades familiares, apto para todo público, niños y adultos interesados en conocer Mar del Plata;Circuitos Guiados;14/12/2024;Quintana;casasobreelarroyo@mardelplata.gob.ar;-38.008257, -57.573877;3998;(0223) 420-1280;;;;;;;;;;;;;;;;;;;;;;;
59164;Visita guiada a la Catedral Basílica Menor de los Santos Pedro y Cecilia;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Circuitos Guiados;14/01/2025;San Martín;;;2780;(02239 495-0395;;;;;;;;;;;;;;;;;;;;;;;
59178;Visita Guiada a Parroquia Nuestra Señora del Rosario de Nueva Pompeya;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Circuitos Guiados;14/12/2024;Av. Libertad;;;4085;(0223) 473-1349;;;;;;;;;;;;;;;;;;;;;;;
13215;Mirador de la Torre Tanque - Obras Sanitarias Mar del Plata - Batán;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Miradores;14/01/2025;Falucho;proyeccionosse@osmgp.gov.ar;-38.013302, -57.535203;995;(0223) 451-4681;Varese;;;;;;;;;;;;;;;;;;;;;;
16843;Mirador Gruta Nuestra Señora del Luján - Gruta de Los Pañuelos;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Miradores;20/12/2020;En Cumbre Sierra de los Padres;;-37.950294, -57.778256;;;Serrana;;;;;;;;;;;;;;;;;;;;;;
13053;Archivo Museo Histórico Municipal Don Roberto T. Barili. Villa Mitre;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;22/01/2025;Lamadrid;archivohistoricomgp@gmail.com;-38.020753, -57.552809;3870;(0223) 495-1200;Los Troncos;;;;;;;;;;;;;;;;;;;;;;
13054;Museo Casa Bruzzone;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;15/01/2023;Marie Curie;casabruzzone@gmail.com;-37.949565, -57.556244;6193;(0223) 479-0227;Constitución;;;;;;;;;;;;;;;;;;;;;;
13055;Museo del Automovilismo Juan Manuel Fangio;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;15/01/2025;En Balcarce;administracion@museofangio.com;-37.848080, -58.255304;;(02266) 42-5540;;;;;;;;;;;;;;;;;;;;;;;
13056;Museo del Hombre del Puerto Cleto Ciocchini  - Centro Comercial del Puerto;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;15/01/2025;Av. de los Pescadores;;-38.046476, -57.542867;450;;Puerto;;;;;;;;;;;;;;;;;;;;;;
13058;Museo Municipal de Arte Juan Carlos Castagnino - Villa Ortiz Basualdo;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;22/01/2025;Av. Colón;museocastagninomdp@yahoo.com.ar;-38.010479, -57.535739;1189;(0223) 486-1636;Playas del Centro;;;;;;;;;;;;;;;;;;;;;;
13059;Museo Municipal de Ciencias Naturales Lorenzo Scaglia;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;22/01/2025;Av. Libertad;museoscaglia@gmail.com;-37.991227, -57.546769;3099;(0223) 473-8791;La Perla, Playa;;;;;;;;;;;;;;;;;;;;;;
13060;Museo Municipal José Hernández;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;15/01/2025;En Laguna de los Padres;museohernandezmdp@gmail.com;-37.932316, -57.725422;;(0223) 464-4590;Serrana;;;;;;;;;;;;;;;;;;;;;;
13065;Reducción de Nuestra Señora del Pilar y Museo Regional;Visita guiada, excursiones y tours culturales por los puntos históricos de la ciudad, ideal para actividades familiares y paseos tranquilos aptos para todo público, niños y adultos mayores;Museos y Centros Culturales;15/01/2025;En Laguna de los Padres;lareduccionlag1@hotmail.com;-37.939034, -57.720158;;2235-524923;Serrana;;;;;;;;;;;;;;;;;;;;;;
